pc11_state_id,pc11_district_id,year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,pc11_district_name,zone_indicator,num_sezs,mean_distance_to_chennai_km,coastal_district,mean_population_density_per_sq_km,current_districts_mapped,district_type,log_viirs_mean
33,620,2022,average-masked,1.26102187838933,20602.194606264304,16337.697988697026,Thanjavur,0,0,283.5,0,691,Thanjavur,Non-SEZ district,0.8158168696706575
33,621,2022,average-masked,0.7016641139931252,15948.542027292382,22729.59626869081,Pudukkottai,0,0,340.2,0,348,Pudukkottai,Non-SEZ district,0.5316066628454108
33,622,2022,average-masked,0.5857908586236262,11714.929799290954,19998.485170656888,Sivaganga,0,0,409.1,0,324,Sivaganga,Non-SEZ district,0.4610832473191948
33,623,2022,average-masked,1.318160049145861,23285.1445738272,17664.88416100569,Madurai,1,2,422.1,0,819,Madurai,SEZ district,0.8407737887573877
33,624,2022,average-masked,0.5384303626231719,7026.2840271087,13049.568736943878,Theni,0,0,457.5,0,433,Theni,Non-SEZ district,0.4307626515921924
33,625,2022,average-masked,0.9142125342113754,18745.98010933524,20505.05698382929,Virudhunagar,0,0,464.8,0,454,Virudhunagar,Non-SEZ district,0.6493063287737859
33,626,2022,average-masked,0.5630332595306149,10965.433264814785,19475.6403448641,Ramanathapuram,0,0,442,1,320,Ramanathapuram,Non-SEZ district,0.4466283305031593
33,627,2022,average-masked,1.084156773176776,24154.152626945463,22279.20649904664,Thoothukkudi,1,1,533.8,1,378,Thoothukudi,SEZ district,0.7343643481139035
33,628,2022,average-masked,1.0369493020324974,32747.284632367955,31580.410506261836,Tirunelveli,1,3,559.25,0,435,Tirunelveli; Tenkasi,SEZ district,0.7114532483892871
33,629,2022,average-masked,1.495798829825664,12053.07586067158,8057.952460142233,Kanniyakumari,0,0,630.5,1,1119,Kanniyakumari,Non-SEZ district,0.9146088502340921
33,630,2022,average-masked,0.7219801105702629,15338.117743183271,21244.51562947948,Dharmapuri,0,0,252.7,0,335,Dharmapuri,Non-SEZ district,0.5434748557473501
33,631,2022,average-masked,1.2972875851399226,31953.548546138623,24631.044736847754,Krishnagiri,1,3,231.7,0,370,Krishnagiri,SEZ district,0.8317291161921806
